name	n_hab_planets	n_stars	n_planets	discovery_method	temperature	metalicity	radius	period	declination	eccentricity	
HAT-P-12	0	1	1	transit	875.4	None	0.959	3.2130598	+43 29 37	0.0	
HAT-P-13	1	1	2	transit	1504.3	None	1.28	2.916243	+47 21 07	0.0142	
HAT-P-13	1	1	2	RV	276.2	None	None	448.2	+47 21 07	0.666	
HAT-P-14	0	2	1	transit	1445.9	None	1.2	4.627657	+38 14 32	0.095	
HAT-P-15	0	1	1	transit	819.9	None	1.072	10.863502	+39 27 38	0.19	
HAT-P-16	0	2	1	transit	1567	None	1.190	2.7759712	+42 27 47	0.036	
HAT-P-17	0	1	2	transit	707.1	None	1.01	10.338523	+30 29 19	0.346	
HAT-P-17	0	1	2	RV	127.5	None	None	1798	+30 29 19	0.1	
HAT-P-18	0	1	1	transit	841	None	0.947	5.507978	+33 00 45	0.009	
HAT-P-19	0	1	1	transit	922.7	None	1.132	4.008778	+34 42 42	0.067	
HAT-P-1	0	1	1	transit	1182.1	None	1.217	4.4652934	+38 40 30	0.067	
HAT-P-20	0	1	1	transit	888.3	None	0.867	2.875317	+24 20 11	0.015	
HAT-P-21	0	1	1	transit	1161.5	None	1.024	4.124461	+41 01 41	0.228	
HAT-P-22	0	1	1	transit	1171.7	None	1.08	3.21222	+50 07 42	0.016	
HAT-P-23	0	1	1	transit	1873.6	None	1.368	1.212884	+16 45 44	0.106	
HAT-P-24	0	2	1	transit	1495.0	None	1.242	3.35524	+14 15 44	0.067	
HAT-P-25	0	1	1	transit	1100.1	None	1.19	3.652836	+25 11 51	0.032	
HAT-P-26	0	1	1	transit	907.4	None	0.565	4.234516	+04 03 36.13	0.124	
HAT-P-27	0	1	1	transit	1102.7	None	1.02	3.039577	+05 56 50	0.0	
HAT-P-28	0	1	1	transit	1262.4	None	1.212	3.257215	+34 43 42	0.051	
HAT-P-29	0	1	1	transit	1149.1	None	1.107	5.72318	+51 46 44	0.095	
HAT-P-2	0	1	1	transit	1343.6	None	0.951	5.6334729	+41 02 53	0.5171	
HAT-P-30	0	2	1	transit	1552.5	None	1.340	2.810595	+05 50 12	0.035	
HAT-P-31	0	1	1	transit	1324.7	None	1.07	5.005425	+26 25 36	0.245	
HAT-P-32	0	2	1	transit	1677.4	None	2.037	2.150009	+46 41 16	0.163	
HAT-P-33	0	2	1	transit	1675.2	None	1.827	3.474474	+33 50 06	0.148	
HAT-P-34	0	1	1	transit	1335.3	None	1.197	5.4527	+18 06 18	0.441	
HAT-P-35	0	1	1	transit	1442.8	None	1.332	3.6467	+04 47 13	0.025	
HAT-P-36	0	1	1	transit	1669.2	None	1.264	1.327	+44 54 55	0.063	
HAT-P-37	0	1	1	transit	1166.3	None	1.178	2.797436	+51 16 09	0.058	
HAT-P-38	0	1	1	transit	987.0	None	0.825	4.640382	+32 14 47	0.067	
HAT-P-39	0	1	1	transit	1601.9	None	1.571	3.54387	+17 49 48	0	
HAT-P-3	0	1	1	transit	1047.2	None	0.827	2.899703	+48 01 43	0.0	
HAT-P-40	0	1	1	transit	1614.8	None	1.730	4.457243	+45 27 27	0.095	
HAT-P-41	0	1	1	transit	1689.7	None	1.685	2.69404	+04 40 20	0	
HAT-P-42	0	1	1	transit	1427	None	1.277	4.641876	+06 05 50	0	
HAT-P-43	0	1	1	transit	1361	None	1.283	3.332688	+10 12 24	0	
HAT-P-44	1	1	2	transit	1126	None	1.28	None	+47 00 53	0.072	
HAT-P-44	1	1	2	transit	None	None	None	219.9	+47 00 53	None	
HAT-P-45	0	1	1	transit	1652	None	1.426	3.128992	-03 22 52	0.049	
HAT-P-46	0	1	2	transit	1458	None	1.284	None	-02 58 15	0.123	
HAT-P-46	0	1	2	RV	None	None	None	None	-02 58 15	0	
HAT-P-49	0	1	1	transit	2131	None	1.413	None	-26 41 34	0	
HAT-P-4	0	1	1	transit	1550.7	None	1.27	3.0565114	+36 13 47	0.0	
HAT-P-50	0	1	1	transit	1862	None	1.288	3.1220109	+12 08 21.9		
