mass        radius
None        0.24787
None        0.39186
None        0.32169
None        0.36543
0.127        0.728
None        0.15036
None        0.19137
None        0.22965
None        0.13214
None        0.13214
None        0.08019
None        0.18682
None        0.15401
None        0.10571
None        0.19593
None        0.14125
None        0.18591
None        0.14945
None        0.13305
None        0.16312
None        0.11847
None        0.10936
None        0.29708
None        0.35359
None        0.12849
None        0.10298
0.01346359        0.13778
0.02541726        0.33526835
None        0.17406
None        0.14490
None        0.17224
None        0.16221
None        0.19046
None        0.15401
None        0.12394
None        0.12394
None        0.11300
None        0.10024
None        0.11938
None        0.09386
None        0.24150
None        0.13214
None        0.16312
None        0.09751
None        0.18773
None        0.12667
None        0.06835
None        0.06379
None        0.20869
None        0.15128
None        0.02761247
None        0.067618678
None        0.181349
None        None
None        0.10845
None        0.11574
None        0.10207
None        0.09022
None        0.12029
None        0.14490
None        0.12029
None        0.11300
None        0.10207
None        0.10298
None        0.27704
None        0.24879
None        0.14399
None        0.12667
None        0.09386
None        0.08111
None        0.07382
None        0.07837
None        0.13761
None        0.13305
None        0.39641678
None        0.07473
None        0.07199
None        0.29162
None        0.32260
None        0.09113
None        0.10024
None        0.11756
None        0.12120
None        0.14581
None        0.15128
None        0.12029
None        0.09386
None        0.56319
None        0.22418
None        0.08475
None        0.09204
None        0.17224
None        0.08749
None        0.13032
None        0.15036
None        0.13578
None        0.15583
None        0.19593
None        0.14216
None        0.13305
None        0.11118
None        0.12576
None        0.11391
None        0.15948
None        0.11574
None        0.15674
None        0.42467
None        0.18955
0.019975        0.130316
0.008525        0.077461
        0.097509
12.582803        None
        0.108445
None        0.258628
0.939        1.325
0.210762        0.396143
1.1        9.7
0.56        1.29
None        0.379102
0.43        1.15
0.2        1.2
None        0.89
6.97        None
None        0.07108
None        0.0665
None        0.0519
None        0.290
None        0.156
None        0.0682
None        0.0596
None        0.0990
2.86        1.13
None        0.244
None        0.152
None        0.191
None        0.100
None        0.200
None        0.166
None        0.146
None        0.120
None        0.208
None        0.036726
None        0.045292
None        0.048299
None        0.049757
None        0.067528
        1.58
        2.51
        1.25
        1.50
        1.11
        1.35
1.37        1.65
1.02        1.24
0.505        0.96
None        0.65705
0.376        None
None        0.14945
None        0.27156828
None        0.42011066
0.015079        0.195019
0.033219        0.286149
0.024945        0.185906
2.066725        None
None        0.21416
None        0.18773
None        0.14581
None        0.14216
0.077        0.357
0.015963        0.155832
0.026041        0.1977527
0.175787        0.642469
0.113864        0.520354
0.0239121542963        0.91130
None        0.15583
None        0.21324
None        0.17770
None        0.25608
None        0.19320
None        0.33992
None        0.18864
None        0.15948
None        0.13943
None        0.14490
None        0.19684
None        0.18864
None        0.14125
None        0.14490
0.0695        0.581
0.569        0.874
3.3        None
0.015814        0.199575
0.007759        0.141252
None        0.25699
None        0.24241
None        0.26792
0.003828        0.100243
0.012848        0.180438
2.114        1.431
0.017182        0.207777
0.020262        0.225092
0.021637        0.232382
None        0.19593013
None        0.1193806
None        0.049210359
None        0.1777040
None        0.14671977
None        0.12849371
        0.556806
None        0.12940502
None        0.2351161
None        0.1385180
None        0.255165
None        0.267923
0.02610931        0.2105109
0.01509936        0.0868471
0.947        None
None        0.2041318
None        0.1558328
0.669        1.323
None        1.06622
0.63        0.96
10.1        1.05
2.00        1.25
0.43        0.96
None        0.69168
None        0.35450
None        0.33171
None        0.30620
0.433        1.614
None        0.24241
None        0.25972
None        0.15857
None        0.14945
None        0.22874
None        0.18317
None        0.11027
None        0.37455
None        0.51397
None        0.22509
None        0.16130
None        0.23056
None        0.17679
None        0.20960
None        0.22509
None        0.25152
None        0.23694
None        0.12576
None        0.20049
None        0.16768
None        0.20778
None        0.10936
None        0.11574
1.019836        1.229348
0.020132        0.559540
0.0330298        0.1558328
0.04907293        0.39368287
0.33344427        1.0270384
0.11009952        0.59781473
0.603        1.419
None        1.029772
None        0.738155
None        0.262455
None        0.242407
None        0.261544
None        0.108445
None        0.119381
0.66        1.40
0.0126        0.1319
        None
0.034099        0.319867
9.833460        None
0.040894        0.311666
        0.243318
0.011041        0.134873
        None
0.011167        0.181349
0.019346        0.134873
0.141900591        1.011544678
0.0975369917        0.9750926178
0.022        0.147
None        None
None        None
None        None
None        0.237
None        0.72
0.005882        0.109356
0.019503        0.561818
None        0.108
None        0.234
None        0.184
1.45        0.94
4.87        1.120
2.43        None
        1.44
1.00        1.09
0.0055264        0.37647
0.76        None
2.5        0.964
7.3        None
        0.073
None        0.168
None        0.289
None        0.233
0.595        1.192
0.0014        0.054
None        0.114
None        0.071
None        0.221
None        0.227
None        0.150
None        0.131
0.07046        0.20960
0.10286        0.49210
0.25        0.978
0.18        0.66
0.29        1.23
0.34        1.09
2.82        1.45
None        0.206
None        0.241
        0.482991
        0.318956
0.202310599        0.314
0.0191927629        0.233
None        0.16768
0.012048        0.146720
0.003177        0.146720
None        0.05559
None        0.153
None        0.268
None        2.1
0.10821        0.24150
0.23624        0.39368
3.25        0.882
0.3194        None
19.1        1.11
2.2        1.17
None        0.208
0.00535        0.26428
0.01982        0.64703
0.0014        0.068
0.0021        0.078
0.84        1.99
0.035546        0.355
2.013248        1.120903
0.072666        0.801947
1.27        1.08
6        None
0.81        0.89
0.01        None
0.9        None
0.23        None
4.1        None
0.0327        None
0.157        None
2.6        None
11        None
0.028940        None
1.5        None
0.057        None
4.8        None
7.8        None
0.208        None
0.188780165497        None
3.7        None
1.676        None
0.03321        None
0.5219        None
1.814        None
2.4        None
10.6        None
19.8        None
6.96        None
1.74        None
2.8        None
8        None
24        None
27        None
2.3        None
3.5        None
0.04        None
0.017        None
0.727        None
0.271        None
0.0694        None
0.12347045        None
4.6        None
0.53        None
1.0        None
0.11        None
0.68        None
1.85        None
3.9        None
0.005222        None
2.6        None
4.34        1.614
0.68        1.72
0.54        1.077
1.24        1.11
1.17        1.227
1.06        1.47
0.75        1.26
1.3        1.2
1.7        None
1.5        None
4.1        None
21        None
None        0.5631852
None        0.922238
2.31        0.941
0.54        None
1.844        None
6.5        1.53
0.00007        None
0.013        None
0.012        None
1.20        0.41
2.5        None
1.33        1.164
2.487        1.144
169.7        None
12.5        1.1
16        None
10        None
4.2        None
1.54        None
13        None
0.00017387419        0.034901518
0.0025637401        0.08656491
0.0031457007        0.091130294
0.00033799525        0.048489079
1        1
0.299        0.832944
0.0457        0.362775
0.053953        0.35221925
0.0000077581378        0.0164379
9.7        1.13
        0.81
5.90        None
0.0062914013        None
0.009751672        None
0.011324522        None
0.013526513        None
0.020761624        None
20.6        None
0.761        1.099
1.253        1.169
1.91        1.305
0.917        1.706
1.778        1.209
2.5        None
10        None
1.78        None
10.78        None
8.86        None
1.059        None
14        None
7.7        None
3.2        None
2.03        1.69
0.5        1.41
1.47        1.603
1.272        1.137
1.925        1.085
0.892        1.284
0.91        1.443
3.06        1.08
0.510        1.238
1.83        1.442
0.88        1.191
0.2755        1.021
0.46        1.045
1.404        1.736
0.500        1.407
7.341        1.281
0.542        1.428
0.855        1.008
0.486        1.991
10.43        1.165
1.168        1.386
0.854        1.483
0.313        1.458
0.276        1.162
0.588        1.158
0.884        0.962
1.032        1.104
0.58        1.26
1.028        1.281
0.907        1.213
0.244        0.792
0.914        1.117
0.478        1.537
3.60        1.19
4.59        1.438
0.59        1.22
0.72        1.32
2.279        1.269
1.696        1.136
2.71        1.09
0.28        1.27
2.06        1.454
0.92        1.21
0.500        1.080
2.034        1.036
0.869        1.002
1.007        1.16
2.101        1.31
1.14        1.15
0.98        1.67
0.378        1.115
1.1215        1.363
1.47        1.15
0.46        1.27
2.5        1.2
0.636        1.653
0.57        1.3
0.571        1.092
0.672        0.916
0.89        1.37
0.863        0.775
